Manufacturer;Name;Id16;Id8;Internal;Algo;AlgoVar;BusWidth;SupportsSectorErase;SupportsChipErase;ZeroProgram;SupportsSoftLock;SoftLockAreaType(0:Sector,1:Chip);SoftUnlockAreaType;SupportsHardLock;HardLockAreaType;SupportsHardUnlock;HardUnlockAreaType;SoftLockResetState(0:Remember,1:ON,2:OFF);SupportsSecure;SupportsUnsecure;Sectors
AMD;Am29DL161DB;12239;10039;0;1;0;16;1;0;0;0;0;0;0;0;0;0;0;0;0;"2000[8]; 10000[31];"
AMD;Am29DL161DT;12236;10036;0;1;0;16;1;0;0;0;0;0;0;0;0;0;0;0;0;"10000[31]; 2000[8];"
AMD;Am29DL162DB;01222E;01002E;0;1;0;16;1;0;0;0;0;0;0;0;0;0;0;0;0;"2000[8]; 10000[3]; 10000[28];"
AMD;Am29DL162DT;01222D;01002D;0;1;0;16;1;0;0;0;0;0;0;0;0;0;0;0;0;"10000[28]; 10000[3]; 2000[8];"
AMD;Am29DL163DB;01222B;01002B;0;1;0;16;1;0;0;0;0;0;0;0;0;0;0;0;0;"2000[8]; 10000[7]; 10000[24];"
AMD;Am29DL163DT;12228;10028;0;1;0;16;1;0;0;0;0;0;0;0;0;0;0;0;0;"10000[24]; 10000[7]; 2000[8];"
AMD;Am29DL164DB;12235;10035;0;1;0;16;1;0;0;0;0;0;0;0;0;0;0;0;0;"2000[8]; 10000[15]; 10000[16];"
AMD;Am29DL164DT;12233;10033;0;1;0;16;1;0;0;0;0;0;0;0;0;0;0;0;0;"10000[16]; 10000[15]; 2000[8];"
AMD;Am29DL322DB/GB;12256;10056;0;1;0;16;1;0;0;0;0;0;0;0;0;0;0;0;0;"2000[8]; 10000[7]; 10000[56];"
AMD;Am29DL322DT/GT;12255;10055;0;1;0;16;1;0;0;0;0;0;0;0;0;0;0;0;0;"10000[56]; 10000[7]; 2000[8];"
AMD;Am29DL323DB/GB;12253;10053;0;1;0;16;1;0;0;0;0;0;0;0;0;0;0;0;0;"2000[8]; 10000[15]; 10000[48];"
AMD;Am29DL323DT/GT;12250;10050;0;1;0;16;1;0;0;0;0;0;0;0;0;0;0;0;0;"10000[48]; 10000[15]; 2000[8];"
AMD;Am29DL324DB/GB;01225F;01005F;0;1;0;16;1;0;0;0;0;0;0;0;0;0;0;0;0;"2000[8]; 10000[31]; 10000[32];"
AMD;Am29DL324DT/GT;01225C;01005C;0;1;0;16;1;0;0;0;0;0;0;0;0;0;0;0;0;"10000[32]; 10000[31]; 2000[8];"
AMD;Am29DL400BB;01220F;01000F;0;1;0;16;1;0;0;0;0;0;0;0;0;0;0;0;0;"4000; 8000; 2000[4]; 8000; 4000; 10000[6];"
AMD;Am29DL400BT;01220C;01000C;0;1;0;16;1;0;0;0;0;0;0;0;0;0;0;0;0;"10000[6]; 4000; 8000; 2000[4]; 8000; 4000;"
AMD;Am29DL800BB;0122CB;0100CB;0;1;0;16;1;0;0;0;0;0;0;0;0;0;0;0;0;"4000; 8000; 2000[4]; 8000; 4000; 10000[14];"
AMD;Am29DL800BT;01224A;01004A;0;1;0;16;1;0;0;0;0;0;0;0;0;0;0;0;0;"10000[14]; 4000; 8000; 2000[4]; 8000; 4000;"
AMD;Am29DS323DB;0122B8;0100B8;0;1;0;16;1;0;0;0;0;0;0;0;0;0;0;0;0;"2000[8]; 10000[15]; 10000[48];"
AMD;Am29DS323DT;0122B7;0100B7;0;1;0;16;1;0;0;0;0;0;0;0;0;0;0;0;0;"10000[48]; 10000[15]; 2000[8];"
AMD;Am29F100B;0122DF;0100DF;0;1;0;16;1;0;0;0;0;0;0;0;0;0;0;0;0;"4000; 2000[2]; 8000; 10000;"
AMD;Am29F100T;0122D9;0100D9;0;1;0;16;1;0;0;0;0;0;0;0;0;0;0;0;0;"10000; 8000; 2000[2]; 4000;"
AMD;Am29F400BB;0122AB;0100AB;0;1;0;16;1;0;0;0;0;0;0;0;0;0;0;0;0;"4000; 2000[2]; 8000; 10000[7];"
AMD;Am29F400BT;12223;10023;0;1;0;16;1;0;0;0;0;0;0;0;0;0;0;0;0;"10000[7]; 8000; 2000[2]; 4000;"
AMD;Am29F800BB;12258;10058;0;1;0;16;1;0;0;0;0;0;0;0;0;0;0;0;0;"4000; 2000[2]; 8000; 10000[15];"
AMD;Am29F800BT;0122D6;0100D6;0;1;0;16;1;0;0;0;0;0;0;0;0;0;0;0;0;"10000[15]; 8000; 2000[2]; 4000;"
AMD;Am29LV001BB;01006D;01006D;0;1;0;8;1;0;0;0;0;0;0;0;0;0;0;0;0;"2000; 1000[2]; 4000[7];"
AMD;Am29LV001BT;0100ED;0100ED;0;1;0;8;1;0;0;0;0;0;0;0;0;0;0;0;0;"4000[7]; 1000[2]; 2000;"
AMD;Am29LV002BB;0100C2;0100C2;0;1;0;8;1;0;0;0;0;0;0;0;0;0;0;0;0;"4000; 2000[2]; 8000; 10000[3];"
AMD;Am29LV002BT;10040;10040;0;1;0;8;1;0;0;0;0;0;0;0;0;0;0;0;0;"10000[3]; 8000; 2000[2]; 4000;"
AMD;Am29LV004BB;0100B6;0100B6;0;1;0;8;1;0;0;0;0;0;0;0;0;0;0;0;0;"4000; 2000[2]; 8000; 10000[7];"
AMD;Am29LV004BT;0100B5;0100B5;0;1;0;8;1;0;0;0;0;0;0;0;0;0;0;0;0;"10000[7]; 8000; 2000[2]; 4000;"
AMD;Am29LV033C;0100A3;0100A3;0;1;0;8;1;0;0;0;0;0;0;0;0;0;0;0;0;"10000[64];"
AMD;Am29LV033MU;01007E;01007E;0;1;0;8;1;0;0;0;0;0;0;0;0;0;0;0;0;"10000[64];"
AMD;Am29LV065D;010093;010093;0;1;0;8;1;0;0;0;0;0;0;0;0;0;0;0;0;"10000[128];"
AMD;Am29LV116DB;01004C;01004C;0;1;0;8;1;0;0;0;0;0;0;0;0;0;0;0;0;"4000; 2000[2]; 8000; 10000[31];"
AMD;Am29LV116DT;0100C7;0100C7;0;1;0;8;1;0;0;0;0;0;0;0;0;0;0;0;0;"10000[31]; 8000; 2000[2]; 4000;"
AMD;Am29LV160BB;12249;10049;0;1;0;16;1;0;0;0;0;0;0;0;0;0;0;0;0;"4000; 2000[2]; 8000; 10000[31];"
AMD;Am29LV160BT;0122C4;0100C4;0;1;0;16;1;0;0;0;0;0;0;0;0;0;0;0;0;"10000[31]; 8000; 2000[2]; 4000;"
AMD;Am29LV160DB;12249;10049;0;1;0;16;1;0;0;0;0;0;0;0;0;0;0;0;0;"4000; 2000[2]; 8000; 10000[31];"
AMD;Am29LV160DT;0122C4;0100C4;0;1;0;16;1;0;0;0;0;0;0;0;0;0;0;0;0;"10000[31]; 8000; 2000[2]; 4000;"
AMD;Am29LV200BB;0122BF;0100BF;0;1;0;16;1;0;0;0;0;0;0;0;0;0;0;0;0;"4000; 2000[2]; 8000; 10000[3];"
AMD;Am29LV200BT;01223B;01003B;0;1;0;16;1;0;0;0;0;0;0;0;0;0;0;0;0;"10000[3]; 8000; 2000[2]; 4000;"
AMD;Am29LV320DB;0122F9;0100F9;0;1;0;16;1;0;0;0;0;0;0;0;0;0;0;0;0;"2000[8]; 10000[63];"
AMD;Am29LV320DT;0122F6;0100F6;0;1;0;16;1;0;0;0;0;0;0;0;0;0;0;0;0;"10000[63]; 2000[8];"
AMD;Am29LV400BB;0122BA;0100BA;0;1;0;16;1;0;0;0;0;0;0;0;0;0;0;0;0;"4000; 2000[2]; 8000; 10000[7];"
AMD;Am29LV400BT;0122B9;0100B9;0;1;0;16;1;0;0;0;0;0;0;0;0;0;0;0;0;"10000[7]; 8000; 2000[2]; 4000;"
AMD;Am29LV640D;0122D7;0100D7;0;1;0;16;1;0;0;0;0;0;0;0;0;0;0;0;0;"10000[128];"
AMD;Am29LV641D;0122D7;0100D7;0;1;0;16;1;0;0;0;0;0;0;0;0;0;0;0;0;"10000[128];"
AMD;Am29LV800BB;01225B;01005B;0;1;0;16;1;0;0;0;0;0;0;0;0;0;0;0;0;"4000; 2000[2]; 8000; 10000[15];"
AMD;Am29LV800BT;0122DA;0100DA;0;1;0;16;1;0;0;0;0;0;0;0;0;0;0;0;0;"10000[15]; 8000; 2000[2]; 4000;"
AMD;Am29SL800DB;01226B;01006B;0;1;0;16;1;0;0;0;0;0;0;0;0;0;0;0;0;"4000; 2000[2]; 8000; 10000[15];"
AMD;Am29SL800DT;0122EA;0100EA;0;1;0;16;1;0;0;0;0;0;0;0;0;0;0;0;0;"10000[15]; 8000; 2000[2]; 4000;"
AMIC;A29L400B;37B3B5;3700B5;0;1;0;16;1;0;0;0;0;0;0;0;0;0;0;0;0;"4000; 2000[2]; 8000; 10000[7];"
AMIC;A29L400T;37B334;370034;0;1;0;16;1;0;0;0;0;0;0;0;0;0;0;0;0;"10000[7]; 8000; 2000[2]; 4000;"
Atmel;AT29BV010A;1F0035;1F0035;0;1;0;8;1;0;0;0;0;0;0;0;0;0;0;0;0;"80[1024];"
